task_id	model	timestamp	parser_rate	acc	precision	recall	f1
03	MiniGPT-med	2025-05-14 12:38:38	1.0000	0.1825	0.0829	0.2028	0.1145
37	MiniGPT-med	2025-05-14 12:38:39	1.0000	0.2522	0.1639	0.1394	0.1011
37	MiniGPT-med	2025-05-14 12:38:39	1.0000	0.2522	0.1639	0.1394	0.1011
50	MiniGPT-med	2025-05-14 12:38:39	1.0000	0.3431	0.4455	0.3431	0.1869
50	MiniGPT-med	2025-05-14 12:38:39	1.0000	0.3431	0.4455	0.3431	0.1869
69	MiniGPT-med	2025-05-14 12:38:39	1.0000	0.2300	0.1796	0.1487	0.0934
10	MiniGPT-med	2025-05-14 12:38:40	1.0000	0.2368	0.0590	0.1636	0.0867
18	MiniGPT-med	2025-05-14 12:38:43	1.0000	0.5000	0.2500	0.5000	0.3333
21	MiniGPT-med	2025-05-14 12:38:43	1.0000	0.5205	0.5370	0.5074	0.3903
23	MiniGPT-med	2025-05-14 12:38:43	1.0000	0.2900	0.2308	0.2827	0.1975
25	MiniGPT-med	2025-05-14 12:38:43	1.0000	0.4800	0.6184	0.5889	0.4724
28	MiniGPT-med	2025-05-14 12:38:43	1.0000	0.1058	0.0792	0.0786	0.0779
32	MiniGPT-med	2025-05-14 12:38:43	1.0000	0.5243	0.5316	0.5307	0.5227
40	MiniGPT-med	2025-05-14 12:38:43	1.0000	0.0275	0.0159	0.0256	0.0196
42	MiniGPT-med	2025-05-14 12:38:43	1.0000	0.6535	0.8250	0.5139	0.4210
66	MiniGPT-med	2025-05-14 12:38:44	1.0000	0.3800	0.6869	0.5079	0.2877
70	MiniGPT-med	2025-05-14 12:38:44	1.0000	0.2900	0.2656	0.3631	0.2257
