task_id	model	Bleu-4	Rouge	BERTScore
10	InternVL3-9B-Instruct	21.59	43.13	80.98
10	Do-7B	0.59	2.62	66.70
10	qwen2.5-vl-3b-instruct	18.47	40.50	75.72
10	gemini-2.0-pro-exp-02-05	31.18	48.60	81.60
10	gemini-2.5-pro-preview-03-25	27.28	43.86	80.08
10	Do-3B	0.24	2.37	67.83
10	Mistral-Small-3.1-24B-Instruct-2503	20.77	42.12	80.74
10	Qwen2.5-VL-72B-Instruct	28.16	44.28	80.91
10	Qwen2.5-VL-32B-Instruct	14.77	38.68	77.39
10	qwen-max-2025-01-25	30.67	49.00	82.55
10	LLaVA-1.5-13B-HF	10.83	29.40	75.50
10	Phi-4-multimodal-instruct	3.87	22.98	73.08
10	gpt-4o-mini	11.73	36.29	77.53
10	doubao-1.5-vision-pro-32k-250115	8.64	33.30	78.42
10	Qwen2.5-VL-7B-Instruct-Pro	29.44	47.00	81.15
10	gpt-4o-2024-08-06	33.77	49.96	81.58
10	claude-3-7-sonnet-20250219	1.29	16.66	71.66
11	InternVL3-9B-Instruct	53.73	63.77	89.51
11	Do-7B	3.82	9.59	71.63
11	qwen2.5-vl-3b-instruct	80.88	89.02	98.28
11	gemini-2.0-pro-exp-02-05	67.11	84.61	97.23
11	gemini-2.5-pro-preview-03-25	15.88	25.95	75.98
11	Do-3B	22.17	28.63	79.24
11	Mistral-Small-3.1-24B-Instruct-2503	2.44	15.09	74.10
11	Qwen2.5-VL-72B-Instruct	50.52	64.52	90.03
11	Qwen2.5-VL-32B-Instruct	18.93	42.41	82.17
11	qwen-max-2025-01-25	58.23	77.34	93.56
11	LLaVA-1.5-13B-HF	4.87	10.75	70.97
11	Phi-4-multimodal-instruct	42.77	67.43	92.72
11	gpt-4o-mini	22.97	42.09	82.75
11	doubao-1.5-vision-pro-32k-250115	24.54	40.83	83.24
11	Qwen2.5-VL-7B-Instruct-Pro	56.44	66.77	92.95
11	gpt-4o-2024-08-06	67.37	86.84	98.43
11	claude-3-7-sonnet-20250219	1.35	17.37	76.02
39	InternVL3-9B-Instruct	2.16	14.70	72.21
39	Do-7B	0.39	9.41	68.92
39	qwen2.5-vl-3b-instruct	4.10	16.60	73.84
39	gemini-2.5-pro-preview-03-25	0.93	11.54	71.06
39	Do-3B	0.02	6.97	67.56
39	Mistral-Small-3.1-24B-Instruct-2503	1.80	14.90	71.72
39	Qwen2.5-VL-72B-Instruct	3.09	15.06	72.66
39	Qwen2.5-VL-32B-Instruct	1.19	13.01	68.14
39	LLaVA-1.5-13B-HF	6.24	18.58	73.79
39	Phi-4-multimodal-instruct	3.27	16.58	73.27
39	doubao-1.5-vision-pro-32k-250115	1.42	13.29	72.40
39	Qwen2.5-VL-7B-Instruct-Pro	3.71	15.56	73.15
44	InternVL3-9B-Instruct	0.00	0.00	nan
44	Do-7B	0.00	0.00	nan
44	qwen2.5-vl-3b-instruct	0.00	0.00	nan
44	gemini-2.0-pro-exp-02-05	0.00	0.00	nan
44	gemini-2.5-pro-preview-03-25	0.00	0.00	nan
44	Do-3B	0.00	0.00	nan
44	Mistral-Small-3.1-24B-Instruct-2503	0.00	0.00	nan
44	Qwen2.5-VL-72B-Instruct	0.00	0.00	nan
44	Qwen2.5-VL-32B-Instruct	0.00	0.00	nan
44	qwen-max-2025-01-25	0.00	0.00	nan
44	LLaVA-1.5-13B-HF	0.00	0.00	nan
44	Phi-4-multimodal-instruct	0.00	0.00	nan
44	gpt-4o-mini	0.00	0.00	nan
44	doubao-1.5-vision-pro-32k-250115	0.00	0.00	nan
44	Qwen2.5-VL-7B-Instruct-Pro	0.00	0.00	nan
44	gpt-4o-2024-08-06	0.00	0.00	nan
44	claude-3-7-sonnet-20250219	0.00	0.00	nan
