task_id	model	acc
04	InternVL3-9B-Instruct	0.1300
04	Do-7B	0.0000
04	qwen2.5-vl-3b-instruct	0.1600
04	gemini-2.0-pro-exp-02-05	0.1100
04	gemini-2.5-pro-preview-03-25	0.1000
04	Do-3B	0.0000
04	Mistral-Small-3.1-24B-Instruct-2503	0.0500
04	Qwen2.5-VL-72B-Instruct	0.0500
04	Qwen2.5-VL-32B-Instruct	0.0900
04	qwen-max-2025-01-25	0.2000
04	LLaVA-1.5-13B-HF	0.0000
04	Phi-4-multimodal-instruct	0.0600
04	gpt-4o-mini	0.0800
04	doubao-1.5-vision-pro-32k-250115	0.0800
04	Qwen2.5-VL-7B-Instruct-Pro	0.0800
04	gpt-4o-2024-08-06	0.0600
04	claude-3-7-sonnet-20250219	0.0500
17	InternVL3-9B-Instruct	0.1900
17	Do-7B	0.0000
17	qwen2.5-vl-3b-instruct	0.0700
17	gemini-2.5-pro-preview-03-25	0.0800
17	Do-3B	0.0100
17	Mistral-Small-3.1-24B-Instruct-2503	0.1200
17	LLaVA-1.5-13B-HF	0.0000
17	Phi-4-multimodal-instruct	0.1600
17	doubao-1.5-vision-pro-32k-250115	0.1500
23	InternVL3-9B-Instruct	0.2800
23	Do-7B	0.0100
23	qwen2.5-vl-3b-instruct	0.3500
23	gemini-2.0-pro-exp-02-05	0.2500
23	gemini-2.5-pro-preview-03-25	0.2400
23	Do-3B	0.0000
23	Mistral-Small-3.1-24B-Instruct-2503	0.0600
23	Qwen2.5-VL-72B-Instruct	0.1700
23	Qwen2.5-VL-32B-Instruct	0.2600
23	qwen-max-2025-01-25	0.2600
23	LLaVA-1.5-13B-HF	0.0000
23	Phi-4-multimodal-instruct	0.1500
23	gpt-4o-mini	0.2000
23	doubao-1.5-vision-pro-32k-250115	0.2200
23	Qwen2.5-VL-7B-Instruct-Pro	0.0800
23	gpt-4o-2024-08-06	0.1200
23	claude-3-7-sonnet-20250219	0.2400
32	InternVL3-9B-Instruct	0.1650
32	Do-7B	0.0000
32	qwen2.5-vl-3b-instruct	0.1748
32	gemini-2.0-pro-exp-02-05	0.0971
32	gemini-2.5-pro-preview-03-25	0.0388
32	Do-3B	0.0000
32	Mistral-Small-3.1-24B-Instruct-2503	0.0971
32	Qwen2.5-VL-72B-Instruct	0.0971
32	Qwen2.5-VL-32B-Instruct	0.1845
32	qwen-max-2025-01-25	0.3204
32	LLaVA-1.5-13B-HF	0.0000
32	Phi-4-multimodal-instruct	0.0680
32	gpt-4o-mini	0.1942
32	doubao-1.5-vision-pro-32k-250115	0.1553
32	Qwen2.5-VL-7B-Instruct-Pro	0.1553
32	gpt-4o-2024-08-06	0.1262
32	claude-3-7-sonnet-20250219	0.0874
64	InternVL3-9B-Instruct	0.1300
64	Do-7B	0.0000
64	qwen2.5-vl-3b-instruct	0.1700
64	gemini-2.0-pro-exp-02-05	0.0928
64	gemini-2.5-pro-preview-03-25	0.1500
64	Do-3B	0.0000
64	Mistral-Small-3.1-24B-Instruct-2503	0.0600
64	Qwen2.5-VL-72B-Instruct	0.0600
64	Qwen2.5-VL-32B-Instruct	0.0800
64	qwen-max-2025-01-25	0.0612
64	LLaVA-1.5-13B-HF	0.0000
64	Phi-4-multimodal-instruct	0.0300
64	gpt-4o-mini	0.0714
64	doubao-1.5-vision-pro-32k-250115	0.1200
64	Qwen2.5-VL-7B-Instruct-Pro	0.0700
64	gpt-4o-2024-08-06	0.1122
64	claude-3-7-sonnet-20250219	0.0312
09	InternVL3-9B-Instruct	0.1200
09	Do-7B	0.0000
09	qwen2.5-vl-3b-instruct	0.0900
09	gemini-2.0-pro-exp-02-05	0.1500
09	gemini-2.5-pro-preview-03-25	0.1600
09	Do-3B	0.0000
09	Mistral-Small-3.1-24B-Instruct-2503	0.1400
09	Qwen2.5-VL-72B-Instruct	0.1500
09	Qwen2.5-VL-32B-Instruct	0.1600
09	qwen-max-2025-01-25	0.0600
09	LLaVA-1.5-13B-HF	0.0000
09	Phi-4-multimodal-instruct	0.0300
09	gpt-4o-mini	0.1400
09	doubao-1.5-vision-pro-32k-250115	0.1400
09	Qwen2.5-VL-7B-Instruct-Pro	0.1400
09	gpt-4o-2024-08-06	0.1800
09	claude-3-7-sonnet-20250219	0.1600
