task_id	model	Bleu-4	Rouge	BERTScore
10	InternVL3-9B-Instruct	29.46	47.71	82.17
10	Do-7B	0.00	1.62	66.54
10	gemini-2.5-pro-preview-03-25	27.28	43.86	80.08
10	Do-3B	0.00	2.59	67.95
10	Mistral-Small-3.1-24B-Instruct-2503	29.99	47.57	82.62
10	LLaVA-1.5-13B-HF	20.93	37.24	77.96
10	Phi-4-multimodal-instruct	21.94	42.15	80.04
11	InternVL3-9B-Instruct	57.23	69.22	89.34
11	Do-7B	2.51	7.34	71.44
11	gemini-2.5-pro-preview-03-25	15.88	25.95	75.98
11	Do-3B	28.15	37.15	81.76
11	Mistral-Small-3.1-24B-Instruct-2503	9.47	27.83	77.05
11	LLaVA-1.5-13B-HF	14.09	22.47	75.37
11	Phi-4-multimodal-instruct	49.34	69.17	94.02
44	InternVL3-9B-Instruct	0.00	0.00	nan
44	Do-7B	0.00	0.00	nan
44	gemini-2.5-pro-preview-03-25	0.00	0.00	nan
44	Do-3B	0.00	0.00	nan
44	Mistral-Small-3.1-24B-Instruct-2503	0.00	0.00	nan
44	LLaVA-1.5-13B-HF	0.00	0.00	nan
44	Phi-4-multimodal-instruct	0.00	0.00	nan
