task_id	model	timestamp	parser_rate	acc	precision	recall	f1
03	InternVL3-9B-Instruct	2025-05-13 14:24:29	1.0000	0.0000	0.0000	0.0000	0.0000
03	Do-7B	2025-05-13 14:24:30	1.0000	0.0000	0.0000	0.0000	0.0000
03	gemini-2.5-pro-preview-03-25	2025-05-13 14:24:31	1.0000	0.9416	0.9066	0.9663	0.9322
03	Do-3B	2025-05-13 14:24:31	1.0000	0.0000	0.0000	0.0000	0.0000
03	Mistral-Small-3.1-24B-Instruct-2503	2025-05-13 14:24:32	1.0000	0.0000	0.0000	0.0000	0.0000
03	LLaVA-1.5-13B-HF	2025-05-13 14:24:32	1.0000	0.0000	0.0000	0.0000	0.0000
03	Phi-4-multimodal-instruct	2025-05-13 14:24:33	1.0000	0.0000	0.0000	0.0000	0.0000
37	InternVL3-9B-Instruct	2025-05-13 14:24:38	1.0000	0.3517	0.0903	0.2426	0.1316
37	local_model	2025-05-13 14:24:42	1.0000	0.0000	0.0000	0.0000	0.0000
37	Do-7B	2025-05-13 14:24:46	1.0000	0.2433	0.0146	0.0087	0.0089
37	gemini-2.5-pro-preview-03-25	2025-05-13 14:24:51	1.0000	0.5346	0.2675	0.3811	0.3118
37	Do-3B	2025-05-13 14:24:55	1.0000	0.3890	0.0686	0.0619	0.0583
37	Mistral-Small-3.1-24B-Instruct-2503	2025-05-13 14:24:59	1.0000	0.3464	0.2037	0.1687	0.1111
37	LLaVA-1.5-13B-HF	2025-05-13 14:25:04	1.0000	0.3339	0.1226	0.1192	0.1036
37	Phi-4-multimodal-instruct	2025-05-13 14:25:08	1.0000	0.3641	0.1112	0.1034	0.0804
50	InternVL3-9B-Instruct	2025-05-13 14:25:08	1.0000	0.3137	0.3734	0.3137	0.2534
50	local_model	2025-05-13 14:25:08	1.0000	0.0000	0.0000	0.0000	0.0000
50	Do-7B	2025-05-13 14:25:08	1.0000	0.1569	0.0183	0.0109	0.0103
50	gemini-2.5-pro-preview-03-25	2025-05-13 14:25:08	1.0000	0.3431	0.2092	0.2574	0.1615
50	Do-3B	2025-05-13 14:25:09	1.0000	0.3039	0.2337	0.2279	0.1901
50	Mistral-Small-3.1-24B-Instruct-2503	2025-05-13 14:25:09	1.0000	0.3922	0.2897	0.3922	0.2905
50	Qwen2.5-VL-72B-Instruct	2025-05-13 14:25:09	1.0000	0.3529	0.4467	0.3529	0.2062
50	Qwen2.5-VL-32B-Instruct	2025-05-13 14:25:09	1.0000	0.3333	0.2767	0.3333	0.1827
50	LLaVA-1.5-13B-HF	2025-05-13 14:25:09	1.0000	0.2843	0.2255	0.2132	0.1787
50	Phi-4-multimodal-instruct	2025-05-13 14:25:09	1.0000	0.3039	0.0993	0.1824	0.1060
50	Qwen2.5-VL-7B-Instruct-Pro	2025-05-13 14:25:10	1.0000	0.3235	0.2008	0.3235	0.2044
53	InternVL3-9B-Instruct	2025-05-13 14:25:13	1.0000	0.0297	0.1429	0.0167	0.0200
53	local_model	2025-05-13 14:25:16	1.0000	0.0000	0.0000	0.0000	0.0000
53	Do-7B	2025-05-13 14:25:19	1.0000	0.1782	0.0119	0.0048	0.0069
53	gemini-2.5-pro-preview-03-25	2025-05-13 14:25:23	1.0000	0.5743	0.1667	0.1418	0.1428
53	Do-3B	2025-05-13 14:25:26	1.0000	0.0099	0.0075	0.0031	0.0044
53	Mistral-Small-3.1-24B-Instruct-2503	2025-05-13 14:25:29	1.0000	0.0495	0.0230	0.0420	0.0298
53	LLaVA-1.5-13B-HF	2025-05-13 14:25:32	1.0000	0.0693	0.0420	0.0076	0.0119
53	Phi-4-multimodal-instruct	2025-05-13 14:25:35	1.0000	0.5941	0.0599	0.0721	0.0655
69	InternVL3-9B-Instruct	2025-05-13 14:25:36	1.0000	0.3700	0.1642	0.1490	0.1538
69	local_model	2025-05-13 14:25:36	1.0000	0.0000	0.0000	0.0000	0.0000
69	Do-7B	2025-05-13 14:25:36	1.0000	0.5300	0.4088	0.2814	0.2707
69	gemini-2.5-pro-preview-03-25	2025-05-13 14:25:36	1.0000	0.0000	0.0000	0.0000	0.0000
69	Do-3B	2025-05-13 14:25:36	1.0000	0.5700	0.5465	0.5029	0.5034
69	Mistral-Small-3.1-24B-Instruct-2503	2025-05-13 14:25:36	1.0000	0.4200	0.0578	0.0478	0.0436
69	LLaVA-1.5-13B-HF	2025-05-13 14:25:36	1.0000	0.3400	0.1700	0.1420	0.1490
69	Phi-4-multimodal-instruct	2025-05-13 14:25:36	1.0000	0.3500	0.0906	0.0839	0.0779
10	InternVL3-9B-Instruct	2025-05-13 14:25:37	1.0000	0.3026	0.3111	0.2993	0.2709
10	Do-7B	2025-05-13 14:25:37	1.0000	0.0000	0.0000	0.0000	0.0000
10	gemini-2.5-pro-preview-03-25	2025-05-13 14:25:38	1.0000	0.1776	0.1795	0.1078	0.1214
10	Do-3B	2025-05-13 14:25:38	1.0000	0.1579	0.0243	0.0140	0.0162
10	Mistral-Small-3.1-24B-Instruct-2503	2025-05-13 14:25:39	1.0000	0.1711	0.0123	0.0188	0.0145
10	LLaVA-1.5-13B-HF	2025-05-13 14:25:39	1.0000	0.2039	0.0875	0.0985	0.0870
10	Phi-4-multimodal-instruct	2025-05-13 14:25:40	1.0000	0.1184	0.0098	0.0111	0.0094
18	InternVL3-9B-Instruct	2025-05-13 14:25:41	1.0000	0.5196	0.7550	0.5196	0.3755
18	Do-7B	2025-05-13 14:25:42	1.0000	0.0294	0.0201	0.0010	0.0019
18	gemini-2.5-pro-preview-03-25	2025-05-13 14:25:44	1.0000	0.5196	0.6301	0.5196	0.3901
18	Do-3B	2025-05-13 14:25:45	1.0000	0.4608	0.0843	0.0709	0.0648
18	Mistral-Small-3.1-24B-Instruct-2503	2025-05-13 14:25:46	1.0000	0.5000	0.5000	0.5000	0.3500
18	Qwen2.5-VL-72B-Instruct	2025-05-13 14:25:48	1.0000	0.3039	0.3397	0.2026	0.2200
18	Qwen2.5-VL-32B-Instruct	2025-05-13 14:25:49	1.0000	0.5490	0.5503	0.5490	0.5462
18	LLaVA-1.5-13B-HF	2025-05-13 14:25:50	1.0000	0.5294	0.3678	0.3529	0.3203
18	Phi-4-multimodal-instruct	2025-05-13 14:25:51	1.0000	0.5000	0.1683	0.1429	0.1211
18	Qwen2.5-VL-7B-Instruct-Pro	2025-05-13 14:25:53	1.0000	0.5098	0.5109	0.5098	0.4974
21	InternVL3-9B-Instruct	2025-05-13 14:25:53	1.0000	0.4678	0.4041	0.4569	0.3747
21	local_model	2025-05-13 14:25:53	1.0000	0.0000	0.0000	0.0000	0.0000
