task_id	model	timestamp	parser_rate	acc	precision	recall	f1
03	DolphinUltrasoundV19	2025-07-11 15:35:24	1.0000	0.7737	0.2532	0.2495	0.2421
37	DolphinUltrasoundV19	2025-07-11 15:35:29	1.0000	0.9396	0.1227	0.1174	0.1200
50	DolphinUltrasoundV19	2025-07-11 15:35:30	1.0000	0.4706	0.4527	0.3529	0.3803
53	DolphinUltrasoundV19	2025-07-11 15:35:33	1.0000	0.5545	0.1458	0.1393	0.1379
69	DolphinUltrasoundV19	2025-07-11 15:35:33	1.0000	0.4600	0.2240	0.1889	0.1913
10	DolphinUltrasoundV19	2025-07-11 15:35:34	1.0000	0.8553	0.7021	0.6791	0.6876
18	DolphinUltrasoundV19	2025-07-11 15:35:35	1.0000	0.8922	0.6047	0.5948	0.5972
21	DolphinUltrasoundV19	2025-07-11 15:35:36	1.0000	0.4035	0.0197	0.0133	0.0152
23	DolphinUltrasoundV19	2025-07-11 15:35:36	1.0000	0.3200	0.0414	0.0168	0.0227
25	DolphinUltrasoundV19	2025-07-11 15:35:37	1.0000	0.5500	0.0621	0.0504	0.0530
28	DolphinUltrasoundV19	2025-07-11 15:35:37	1.0000	0.2404	0.2207	0.2083	0.1893
32	DolphinUltrasoundV19	2025-07-11 15:35:38	1.0000	0.5049	0.0551	0.0436	0.0486
40	DolphinUltrasoundV19	2025-07-11 15:35:39	1.0000	0.3578	0.2045	0.2070	0.2012
42	DolphinUltrasoundV19	2025-07-11 15:35:39	1.0000	0.5941	0.2841	0.2772	0.2805
44	DolphinUltrasoundV19	2025-07-11 15:35:39	0.9907	0.2617	0.2251	0.2241	0.1870
57	DolphinUltrasoundV19	2025-07-11 15:35:40	1.0000	0.6038	0.5097	0.5054	0.4782
66	DolphinUltrasoundV19	2025-07-11 15:35:40	1.0000	0.3700	0.0272	0.0132	0.0177
70	DolphinUltrasoundV19	2025-07-11 15:35:40	1.0000	0.5900	0.1138	0.0989	0.1057
75	DolphinUltrasoundV19	2025-07-11 15:35:40	1.0000	1.0000	1.0000	1.0000	1.0000
74is_normal	DolphinUltrasoundV19	2025-07-11 15:35:40	1.0000	0.6606	0.1163	0.0981	0.0960
74is_visible	DolphinUltrasoundV19	2025-07-11 15:35:40	1.0000	0.2202	0.0762	0.0618	0.0313
anatomy	DolphinUltrasoundV19	2025-07-11 15:35:42	1.0000	0.4727	0.2017	0.2196	0.2000
28_class	DolphinUltrasoundV19	2025-07-11 15:35:42	1.0000	0.9554	0.9646	0.9554	0.9543
