task_id	model	timestamp	parser_rate	acc	precision	recall	f1
03	DolphinUltrasoundV19	2025-07-11 15:46:16	1.0000	0.7956	0.7429	0.8236	0.7521
37	DolphinUltrasoundV19	2025-07-11 15:46:20	1.0000	0.9059	0.2585	0.2464	0.2520
50	DolphinUltrasoundV19	2025-07-11 15:46:20	1.0000	0.3431	0.2798	0.2574	0.2300
53	DolphinUltrasoundV19	2025-07-11 15:46:24	1.0000	0.6238	0.1970	0.1878	0.1914
69	DolphinUltrasoundV19	2025-07-11 15:46:24	1.0000	0.4900	0.1472	0.1356	0.1325
10	DolphinUltrasoundV19	2025-07-11 15:46:25	1.0000	0.9474	0.9453	0.9432	0.9441
18	DolphinUltrasoundV19	2025-07-11 15:46:26	1.0000	0.8824	0.8976	0.8824	0.8812
21	DolphinUltrasoundV19	2025-07-11 15:46:26	1.0000	0.7661	0.7683	0.7645	0.7647
23	DolphinUltrasoundV19	2025-07-11 15:46:27	1.0000	0.7900	0.8175	0.7441	0.7686
25	DolphinUltrasoundV19	2025-07-11 15:46:27	1.0000	0.6900	0.6775	0.6995	0.6757
28	DolphinUltrasoundV19	2025-07-11 15:46:27	1.0000	0.1923	0.0333	0.1667	0.0556
32	DolphinUltrasoundV19	2025-07-11 15:46:28	1.0000	0.5631	0.5692	0.5419	0.5023
40	DolphinUltrasoundV19	2025-07-11 15:46:29	1.0000	0.3945	0.1471	0.1358	0.1396
42	DolphinUltrasoundV19	2025-07-11 15:46:30	1.0000	0.6337	0.2997	0.2647	0.2584
44	DolphinUltrasoundV19	2025-07-11 15:46:30	1.0000	0.3333	0.2293	0.2397	0.2302
57	DolphinUltrasoundV19	2025-07-11 15:46:30	1.0000	0.6415	0.3208	0.5000	0.3908
66	DolphinUltrasoundV19	2025-07-11 15:46:30	1.0000	0.8200	0.8062	0.8125	0.8090
70	DolphinUltrasoundV19	2025-07-11 15:46:30	1.0000	0.7000	0.6351	0.6943	0.6432
75	DolphinUltrasoundV19	2025-07-11 15:46:30	1.0000	0.9900	0.9902	0.9900	0.9900
74is_normal	DolphinUltrasoundV19	2025-07-11 15:46:30	1.0000	0.7156	0.4286	0.3787	0.3797
74is_visible	DolphinUltrasoundV19	2025-07-11 15:46:30	1.0000	0.7706	0.5030	0.5028	0.5028
anatomy	DolphinUltrasoundV19	2025-07-11 15:46:32	1.0000	0.5545	0.4058	0.4917	0.4177
28_class	DolphinUltrasoundV19	2025-07-11 15:46:32	1.0000	0.9821	0.8750	0.8594	0.8667
